term	short_vi	review_status	review_method	source	source_license	review_note
aquatic	thuỷ sinh	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/aquatic	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense about living/relating to water matches 'thuỷ sinh', a usable Vietnamese translation present.
archaeology	khảo cổ học	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/archaeology	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'khảo cổ học' directly corresponds to 'the study of ancient remains'.
archbishop	tổng giám mục	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/archbishop	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'tổng giám mục' is the standard Vietnamese term for a senior bishop.
arthritis	viêm khớp	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/arthritis	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Provided translation 'viêm khớp' directly matches the sense 'inflammation of a joint' and corresponds to the short gloss.
artifact	hiện vật	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/artifact	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'an old man-made object' aligns with the 'archaeological object' sense; 'hiện vật' is an exact translation present.
asbestos	amiăng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/asbestos	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense ('fibrous mineral') matches the short gloss; 'amiăng' (also 'miăng') is a correct Vietnamese translation present.
asphalt	nhựa đường	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/asphalt	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 1 ('asphalt concrete' — road-paving material) matches short gloss 'a black road-paving material'; translation 'nhựa đường' is present and appropriate.
assassination	ám sát	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/assassination	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Translation 'ám sát' exactly matches the short gloss 'a politically motivated murder' and is usable Vietnamese (other provided forms are malformed or non-Vietnamese).
asteroid	tiểu hành tinh	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/asteroid	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense matches 'a small rocky space object'; 'tiểu hành tinh' is the correct Vietnamese translation (Chinese alternative present but a valid Vietnamese form is available).
asthma	hen suyễn	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/asthma	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	sense_label 'chronic respiratory disease' matches short_en and 'hen suyễn' is an appropriate Vietnamese gloss.
astrology	chiêm tinh học	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/astrology	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'star divination' matches English gloss 'star-based fate prediction'; 'chiêm tinh học' is exact provided translation.
astronomical	thiên văn	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/astronomical	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'thiên văn' corresponds to 'of or relating to astronomy' and matches 'relating to stars and space'.
atheism	vô thần luận	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/atheism	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Among the provided Vietnamese options, 'vô thần luận' is an appropriate translation of 'atheism' matching the English gloss.
atlas	tập bản đồ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/atlas	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a book of maps' matches sense 'bound collection of maps' with translation 'tập bản đồ'.
atm	máy rút tiền tự động	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/ATM	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense (banking) = automated teller machine; 'máy rút tiền tự động' is an exact, appropriate Vietnamese gloss.
attic	gác xép	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/attic	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a room under the roof' matches the sense 'space directly below the roof' and the provided translation 'gác xép'.
auction	đấu giá	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/auction	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a highest-bidder sale' matches sense label 'public sales event'; 'đấu giá' is an exact, usable Vietnamese translation from the supplied list.
aurora	cực quang	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/aurora	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'atmospheric phenomenon' matches 'cực quang', a correct Vietnamese translation present.
autism	tự kỉ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/autism	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'a developmental brain condition' matches 'tự kỉ' (Vietnamese term for autism).
autobiography	tự truyện	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/autobiography	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'tự truyện' directly matches 'a book about one's own life'.
automation	tự động hóa	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/automation	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'machine-run work' matches sense 'converting the controlling of a machine to an automatic system'; 'tự động hóa' is a correct, usable Vietnamese translation present in the provided translations.
automobile	ô tô	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/automobile	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'passenger vehicle' matches short gloss 'a car'; 'ô tô' is an exact provided Vietnamese translation.
avalanche	tuyết lở	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/avalanche	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'large sliding mass of snow and ice' matches 'a mass of falling snow'; 'tuyết lở' is a correct Vietnamese translation present in the supplied translations.
avocado	bơ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/avocado	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 0 is the fruit sense and 'bơ' is the correct Vietnamese translation.
bachelor	người chưa kết hôn	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bachelor	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'an unmarried man' matches sense label 'unmarried man'; 'người chưa kết hôn' is the exact provided Vietnamese translation.
backbone	xương sống	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/backbone	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 0 matches ‘the spine’ and translation 'xương sống' is correct Vietnamese.
bail	tiền tại ngoại	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bail	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'release payment money' corresponds to the sense 'security'/'money for release'; the translation 'tiền tại ngoại' matches this sense.
bamboo	tre	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bamboo	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a tall woody grass plant' matches sense 'plant'; 'tre' is the correct Vietnamese translation.
barefoot	chân đất	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/barefoot	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss ('without shoes or socks') matches 'wearing nothing on the feet' sense; 'chân đất' is an exact, usable Vietnamese string.
barge	sà lan	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/barge	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a large flat boat' matches sense 'flat-bottomed bulk carrier mainly for inland waters' and 'sà lan' is the correct Vietnamese translation provided.
basil	húng tây	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/basil	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a fragrant cooking herb' matches the plant sense and 'húng tây' is the correct Vietnamese term.
bedtime	giờ đi ngủ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bedtime	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'time when one goes to bed to sleep' matches short gloss 'time to sleep'; translation 'giờ đi ngủ' is correct Vietnamese.
beetle	bọ cánh cứng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/beetle	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	sense 'insect' in context of hard-shelled insects matches 'bọ cánh cứng', a correct Vietnamese translation.
believer	tín đồ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/believer	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a faithful person' aligns with the sense 'person who believes'; 'tín đồ' is a correct Vietnamese translation among the provided options.
beverage	nước giải khát	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/beverage	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a drink' clearly matches the provided translation 'nước giải khát'.
billionaire	tỉ phú	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/billionaire	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'tỉ phú' is the standard Vietnamese term for a person worth a billion.
blackmail	tống tiền	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/blackmail	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 0 ('extortion of money by threats...') directly matches the short gloss; 'tống tiền' is the correct Vietnamese translation present. The other sense's translations contain wiki markup and are malformed, so sense 0 is chosen.
blackout	cúp điện	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/blackout	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a temporary power loss' matches the sense 'a large-scale power failure'; 'cúp điện' is an exact, usable Vietnamese translation (one of the provided alternatives).
bloc	khối	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bloc	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a group of allied countries' corresponds to the second sense 'group of countries'; the provided translation 'khối' matches.
blockbuster	bom tấn	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/blockbuster	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'bom tấn' clearly matches 'a hugely successful movie'.
blond	tóc vàng hoe	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/blond	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'having light colored hair' corresponds to sense 0 'fair-haired person' and the translation 'tóc vàng hoe' denotes blonde hair.
bodyguard	vệ sĩ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bodyguard	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'person responsible for protecting someone' matches short gloss 'a hired protector'; 'vệ sĩ' is appropriate.
bouquet	bó hoa	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bouquet	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Translation 'bó hoa' exactly matches the gloss 'a bunch of flowers'.
bowel	ruột già	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bowel	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense label = large intestine; 'ruột già' is a correct Vietnamese term for large intestine.
boycott	tẩy chay	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/boycott	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a dealing refusal' corresponds to the noun sense 'the act of boycotting'; the translation 'tẩy chay' is provided and appropriate.
bravo	hoan hô	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bravo	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'A shout of approval' matches the interjection sense; 'hoan hô' is an appropriate Vietnamese equivalent.
bribe	hối lộ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bribe	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'inducement to a breaking of the rules' matches noun 'bribe'; 'hối lộ' is a correct Vietnamese translation present in the list.
bribery	sự hối lộ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bribery	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'giving dishonest influence money' matches the supplied sense 'making of illegal payment...' and the translation 'sự hối lộ' is an appropriate exact match.
brigade	lữ đoàn	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/brigade	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'a large group of soldiers' corresponds to 'lữ đoàn' (military unit).
brook	lạch	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/brook	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	short gloss matches 'a small stream' sense; 'lạch' is the provided Vietnamese translation.
broth	nước dùng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/broth	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'nước dùng' is an exact, appropriate Vietnamese translation for 'a thin soup or stock' and matches the sense 'water in which food... has been boiled'.
buckle	khóa	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/buckle	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English 'a belt fastener' clearly matches Vietnamese 'khóa' (no markup, correct meaning).
buffalo	trâu rừng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/buffalo	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense_label 'bovid of the Bubalina subtribe' corresponds to 'a large wild ox'; 'trâu rừng' is the appropriate exact Vietnamese translation.
bundle	bó	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/bundle	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'group of objects held together by wrapping or tying' matches 'tied together things'; 'bó' is an appropriate Vietnamese gloss (also present as alternative 'chùm').
cactus	xương rồng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/cactus	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a spiky desert plant' matches Vietnamese 'xương rồng' exactly; clean and unambiguous.
caffeine	caffein	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/caffeine	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a stimulant found in coffee' corresponds to the chemical name 'caffein' provided in translations; string is usable Vietnamese without markup.
calorie	ca-lo	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/calorie	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Translation 'ca-lo' (as provided) corresponds to the unit of heat/food energy described by the sense and matches the short gloss.
cannabis	cần sa	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/cannabis	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a drug plant' corresponds to the provided translation 'cần sa' (exact match).
cannon	pháo	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/cannon	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'artillery piece' matches 'a large mounted gun'; 'pháo' is an exact provided Vietnamese translation.
canoe	xuồng	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/canoe	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	short gloss matches 'small long and narrow boat' sense; 'xuồng' is the provided Vietnamese translation.
caramel	kẹo caramen	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/caramel	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	“kẹo caramen” specifically denotes caramel candy and aligns with the entry for caramel (light brown, sweet).
cardinal	cốt yếu	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/cardinal	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Sense 'of fundamental importance' corresponds to short gloss 'of the greatest importance'; 'cốt yếu' is an appropriate Vietnamese rendering from the provided translations.
carpenter	thợ mộc	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/carpenter	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a wood builder' matches sense 'one who practices carpentry'; 'thợ mộc' is the correct Vietnamese translation present.
cashier	nhân viên tính tiền	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/cashier	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Short gloss 'a store payment handler' corresponds to sense 'one who works at a till'; 'nhân viên tính tiền' is the exact Vietnamese translation.
casino	sòng bạc	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/casino	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	English gloss 'a place for gambling' matches Vietnamese 'sòng bạc' among the provided translations; clean and appropriate.
censorship	kiểm duyệt	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/censorship	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	'kiểm duyệt' accurately expresses control over speech/freedom of expression.
cervical	cổ	reviewed	machine quality gate: exact Wiktionary vi translation, high-confidence English-sense match; no generated text	https://en.wiktionary.org/wiki/cervical	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Translation 'cổ' directly corresponds to 'of the neck' and matches the short gloss 'relating to the neck'.
