# term	domain	pos	sense2_en	sense2_vi	sense2_context_keywords	review_note
liquidity	economics	noun	fluidity or looseness	tính lỏng	liquid,fluid,flow,viscosity,loose	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
luminosity	physics	noun	brightness or radiance	độ sáng	bright,brightness,light,appearance,glow	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
markup	economics	noun	annotation or formatting mark	dấu đánh dấu	HTML,XML,annotation,formatting,tag,code	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
millennial	economics	noun	lasting a thousand years	thuộc thiên niên kỷ	thousand,years,ancient,calendar,epoch	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
momentum	physics	noun	forward progress or impetus	đà phát triển	progress,trend,initiative,development,drive	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
monopoly	economics	noun	board property-trading game	trò chơi Monopoly	game,board,property,player,dice	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
nucleus	physics	noun	central part of a cell	nhân tế bào	cell,biology,membrane,cytoplasm,genetic	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
nudge	economics	noun	gentle physical push	cú đẩy nhẹ	push,touch,move,elbow,physical	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
observable	physics	noun	able to be noticed	có thể quan sát	notice,see,visible,apparent,behavior	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
orbital	physics	noun	relating to a circular path		orbit,plane,space,planet,satellite	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
plasma	physics	noun	blood liquid component	huyết tương	blood,medical,cell,transfusion,patient	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
polarisation	physics	noun	division into opposing groups	sự phân cực xã hội	political,division,groups,opposing,party	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
polarization	physics	noun	division into opposing groups	sự phân cực xã hội	political,division,groups,opposing,party	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
portfolio	economics	noun	collection of work samples	hồ sơ năng lực	art,design,photography,work,samples,project	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
power	physics	noun	authority or control	quyền lực	authority,control,politics,government,official	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
pressure	physics	noun	stress or coercion	áp lực	stress,coercion,deadline,social,force	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
priming	economics	noun	preparing for use	sự chuẩn bị	pump,prepare,engine,paint,coat,load	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
reflection	physics	noun	careful thought or mirrored image	sự phản chiếu	thought,consider,mirror,image,thinking	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
reinforcement	economics	noun	extra structural support	gia cố	steel,concrete,beam,structure,building,support	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
relativity	physics	noun	dependence on viewpoint	tính tương đối	viewpoint,opinion,subjective,depend,comparison	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
repulsion	physics	noun	strong disgust	sự ghê tởm	disgust,hate,revulsion,unpleasant,feeling	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
repulsive	physics	adjective	causing strong disgust	ghê tởm	disgust,hate,revulsion,unpleasant,feeling	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
resistance	physics	noun	opposition or refusal	sự chống cự	opposition,refusal,protest,oppose,political	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
resonance	physics	noun	evocative significance	sự đồng cảm	emotional,meaning,importance,evoke,connection	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
scepticism	economics	noun	tendency to doubt claims		claim,evidence,belief,doubt,advertising,trust	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
schema	economics	noun	formal data structure	lược đồ dữ liệu	database,table,field,JSON,XML,software,data	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
singularity	physics	noun	unusual or unique thing	điểm độc nhất	unique,unusual,one,rare,exceptional	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
spin	physics	noun	rotational motion	chuyển động quay	rotate,rotation,turning,ball,object	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
superposition	physics	noun	placing one thing over another	sự chồng lên	stack,overlap,layer,put,top,cover	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
tunneling	physics	noun	underground passage construction	sự đào hầm	underground,tunnel,construction,subway,passage	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
velocity	physics	noun	speed in a direction	vận tốc	speed,fast,race,vehicle,movement	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
wave	physics	noun	moving ridge or gesture	làn sóng	sea,ocean,hand,crowd,signal,gesture	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
work	physics	noun	employment or task	công việc	job,employment,task,office,labor,career	manual review; keywords describe contexts for the existing reviewed alternate gloss; no translation generated
