term	lemma	short_en	short_vi	pos	domain	review_status	source	source_license	review_note
data type	data type	classification or category of data	loại dữ liệu	phrase	general	approved	https://en.wiktionary.org/wiki/data_type	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
day off	day off	a day of vacation etc.	ngày nghỉ	phrase	general	approved	https://en.wiktionary.org/wiki/day_off	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
dead end	dead end	position that offers no hope of progress	ngõ cụt	phrase	general	approved	https://en.wiktionary.org/wiki/dead_end	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
death rate	death rate	the number of deaths	tử suất	phrase	general	approved	https://en.wiktionary.org/wiki/death_rate	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
decision tree	decision tree	visualization of decision making	cây quyết định	phrase	general	approved	https://en.wiktionary.org/wiki/decision_tree	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
direct tax	direct tax	tax imposed upon a person or property	thuế trực thu	phrase	general	approved	https://en.wiktionary.org/wiki/direct_tax	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
double standard	double standard	the situation of groups one of which is excused from following a standard	tiêu chuẩn kép	phrase	general	approved	https://en.wiktionary.org/wiki/double_standard	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
even number	even number	positive integer that can be divided by two	số chẵn	phrase	general	approved	https://en.wiktionary.org/wiki/even_number	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
evening star	evening star	planet Venus seen in the evening	sao Hôm	phrase	general	approved	https://en.wiktionary.org/wiki/evening_star	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
exchange rate	exchange rate	currency rate (finance)	tỷ giá hối đoái	phrase	general	approved	https://en.wiktionary.org/wiki/exchange_rate	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
field hospital	field hospital	medical unit	bệnh viện dã chiến	phrase	general	approved	https://en.wiktionary.org/wiki/field_hospital	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
fire station	fire station	building for firefighters	trạm cứu hỏa	phrase	general	approved	https://en.wiktionary.org/wiki/fire_station	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
free trade	free trade	trade free from government interference	thương mại tự do	phrase	general	approved	https://en.wiktionary.org/wiki/free_trade	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
free will	free will	ability to choose one's actions	ý chí tự do	phrase	general	approved	https://en.wiktionary.org/wiki/free_will	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
full stop	full stop	The punctuation mark ⟨.⟩	dấu chấm	phrase	general	approved	https://en.wiktionary.org/wiki/full_stop	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
game theory	game theory	mathematical study of strategic situations	lý thuyết trò chơi	phrase	general	approved	https://en.wiktionary.org/wiki/game_theory	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
go on	go on	continue an action	tiếp tục	phrase	general	approved	https://en.wiktionary.org/wiki/go_on	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
go up	go up	to move upwards	lên	phrase	general	approved	https://en.wiktionary.org/wiki/go_up	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
green light	green light	green traffic light	đèn xanh	phrase	general	approved	https://en.wiktionary.org/wiki/green_light	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
heart attack	heart attack	acute myocardial infarction	nhồi máu cơ tim	phrase	general	approved	https://en.wiktionary.org/wiki/heart_attack	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
heavy industry	heavy industry	heavy industry	công nghiệp nặng	phrase	general	approved	https://en.wiktionary.org/wiki/heavy_industry	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
heavy water	heavy water	water containing deuterium instead of normal hydrogen	nước nặng	phrase	general	approved	https://en.wiktionary.org/wiki/heavy_water	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
high jump	high jump	athletics event	nhảy cao	phrase	general	approved	https://en.wiktionary.org/wiki/high_jump	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
high street	high street	the main street of any town	đường chính	phrase	general	approved	https://en.wiktionary.org/wiki/high_street	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
high technology	high technology	specialized technological application	công nghệ cao	phrase	general	approved	https://en.wiktionary.org/wiki/high_technology	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
hot dog	hot dog	frankfurter in a bun	bánh mì kẹp xúc xích	phrase	general	approved	https://en.wiktionary.org/wiki/hot_dog	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
hot spring	hot spring	natural spring producing hot water	suối nước nóng	phrase	general	approved	https://en.wiktionary.org/wiki/hot_spring	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
human rights	human rights	set of basic rights and freedoms that all humans should be guaranteed	nhân quyền	phrase	general	approved	https://en.wiktionary.org/wiki/human_rights	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
income tax	income tax	tax levied on income	thuế thu nhập	phrase	general	approved	https://en.wiktionary.org/wiki/income_tax	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
insurance policy	insurance policy	document	hợp đồng bảo hiểm	phrase	general	approved	https://en.wiktionary.org/wiki/insurance_policy	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
iron age	iron age	archaeology	thời đại đồ sắt	phrase	general	approved	https://en.wiktionary.org/wiki/Iron_Age	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
left bank	left bank	river bank to the left when facing downstream	tả ngạn	phrase	general	approved	https://en.wiktionary.org/wiki/left_bank	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
library science	library science	interdisciplinary science	khoa học thư viện	phrase	general	approved	https://en.wiktionary.org/wiki/library_science	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
life insurance	life insurance	form of insurance	bảo hiểm nhân thọ	phrase	general	approved	https://en.wiktionary.org/wiki/life_insurance	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
long jump	long jump	athletics field event	nhảy xa	phrase	general	approved	https://en.wiktionary.org/wiki/long_jump	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
lower house	lower house	part of a legislature	hạ viện	phrase	general	approved	https://en.wiktionary.org/wiki/lower_house	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
market economy	market economy	economy in which and services are exchanged in a free market	nền kinh tế thị trường	phrase	general	approved	https://en.wiktionary.org/wiki/market_economy	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
military police	military police	police unit of a military organization	cảnh sát quân sự	phrase	general	approved	https://en.wiktionary.org/wiki/military_police	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
national park	national park	national park	vườn quốc gia	phrase	general	approved	https://en.wiktionary.org/wiki/national_park	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
new moon	new moon	phase of moon when in conjunction with sun	trăng non	phrase	general	approved	https://en.wiktionary.org/wiki/new_moon	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
no one	no one	not even a single person	không ai	phrase	general	approved	https://en.wiktionary.org/wiki/no_one	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
nuclear family	nuclear family	a family unit consisting of a father, mother and children	gia đình hạt nhân	phrase	general	approved	https://en.wiktionary.org/wiki/nuclear_family	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
nuclear power	nuclear power	power from nuclear reactions	năng lượng hạt nhân	phrase	general	approved	https://en.wiktionary.org/wiki/nuclear_power	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
nuclear war	nuclear war	war fought using nuclear weapons	chiến tranh hạt nhân	phrase	general	approved	https://en.wiktionary.org/wiki/nuclear_war	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
paper money	paper money	cash in the form of banknotes	tiền giấy	phrase	general	approved	https://en.wiktionary.org/wiki/paper_money	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
police dog	police dog	trained dog for police work	cảnh khuyển	phrase	general	approved	https://en.wiktionary.org/wiki/police_dog	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
police state	police state	political entity whose government controls people by using police	nhà nước cảnh sát	phrase	general	approved	https://en.wiktionary.org/wiki/police_state	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
political economy	political economy	interdisciplinary studies drawing upon economics, law, and political science	kinh tế chính trị	phrase	general	approved	https://en.wiktionary.org/wiki/political_economy	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
political science	political science	study of politics	chính trị học	phrase	general	approved	https://en.wiktionary.org/wiki/political_science	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
press conference	press conference	question and answer session with members of television, print and other media	họp báo	phrase	general	approved	https://en.wiktionary.org/wiki/press_conference	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
press release	press release	official written media statement	thông cáo báo chí	phrase	general	approved	https://en.wiktionary.org/wiki/press_release	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
primary education	primary education	basic schooling	tiểu học	phrase	general	approved	https://en.wiktionary.org/wiki/primary_education	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
primary school	primary school	first formal, obligatory school	trường tiểu học	phrase	general	approved	https://en.wiktionary.org/wiki/primary_school	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
prime number	prime number	natural number	số nguyên tố	phrase	general	approved	https://en.wiktionary.org/wiki/prime_number	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
public opinion	public opinion	opinion of the public	ý kiến công chúng	phrase	general	approved	https://en.wiktionary.org/wiki/public_opinion	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
radio station	radio station	broadcast station emitting an audio signal	đài phát thanh	phrase	general	approved	https://en.wiktionary.org/wiki/radio_station	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
red card	red card	sports: card	thẻ đỏ	phrase	general	approved	https://en.wiktionary.org/wiki/red_card	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
run out	run out	to use up	hết	phrase	general	approved	https://en.wiktionary.org/wiki/run_out	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
sea level	sea level	nominal height of the surface of the oceans above which heights of geographical features and aircraft flight levels are measured	mực nước biển	phrase	general	approved	https://en.wiktionary.org/wiki/sea_level	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
secret service	secret service	government organization	mật vụ	phrase	general	approved	https://en.wiktionary.org/wiki/secret_service	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
simple machine	simple machine	device	máy cơ đơn giản	phrase	general	approved	https://en.wiktionary.org/wiki/simple_machine	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
social contract	social contract	agreement or contract	khế ước xã hội	phrase	general	approved	https://en.wiktionary.org/wiki/social_contract	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
social science	social science	branch of science	khoa học xã hội	phrase	general	approved	https://en.wiktionary.org/wiki/social_science	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
space flight	space flight	flight into, from, or through space	du hành không gian	phrase	general	approved	https://en.wiktionary.org/wiki/space_flight	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
standard of living	standard of living	relative measure of quality of life	mức sống	phrase	general	approved	https://en.wiktionary.org/wiki/standard_of_living	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
stone age	stone age	prehistoric period	thời đại đồ đá	phrase	general	approved	https://en.wiktionary.org/wiki/Stone_Age	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
time zone	time zone	range of longitudes where a common standard time is used	múi giờ	phrase	general	approved	https://en.wiktionary.org/wiki/time_zone	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
top secret	top secret	information classified at the highest level	tối mật	phrase	general	approved	https://en.wiktionary.org/wiki/top_secret	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
upper house	upper house	part of a legislature	thượng viện	phrase	general	approved	https://en.wiktionary.org/wiki/upper_house	Wiktionary CC BY-SA 4.0 / GFDL; attribution and share-alike notice required	Manus-curated first batch: single plain Vietnamese translation, clear phrase sense, no generated text; verify again during sample review
